district,pricePerSquare mean,% houses with elevator,% houses with subway,square mean,buildeng age mean,frequent buildingStructure
1,5981.774965269165,56.2165500205846,93.488404007136,67.04785645670371,25.151708522025526,steel-concrete composite
2,3805.9248108315683,68.6476232169567,61.82554448943854,76.951352011966,20.63912297982562,steel-concrete composite
3,3130.3331420600543,66.63669064748201,47.03237410071942,92.07148381294965,15.494604316546763,steel-concrete composite
4,2999.9288208165553,39.983397897066965,43.02711676812396,86.32227241283896,18.324363586054233,mixed
5,2841.7614828318187,80.07703081232494,39.00560224089636,89.29799019607843,11.271358543417367,steel-concrete composite
6,2952.2224511847985,37.89266289266289,43.55366855366856,100.12161394161394,17.536463536463536,mixed
7,4225.965657411503,66.74621616529548,68.3078984278507,78.84554439071364,22.55371684565304,steel-concrete composite
8,5312.91482668778,51.88346176280969,61.08740367789274,73.61524790470637,24.191569704970373,steel-concrete composite
9,3491.1269719109823,46.53446097015651,27.63682317488092,73.04751336638476,25.653834937299504,steel-concrete composite
10,6464.89947959943,48.03069247051708,76.32295131539159,62.38615739340792,28.349599334744482,mixed
11,2782.5096803677015,51.76295315345142,34.12514484356895,86.1536988909121,16.959361032941565,steel-concrete composite
12,2615.607527373751,39.6413110698825,0.12368583797155226,85.08270253555969,18.532467532467532,mixed
13,2412.935146655142,33.77379619260918,29.764837625979844,92.81306942889137,19.864501679731244,mixed
